Trajectories;;;;;;;;;;;;;;;;;;;;;;
120;;;;;;;;;;;;;;;;;;;;;;
;;1 0;;;1 1;;;1 2;;;1 3;;;1 4;;;1 5;;;1 6;;
Frame;Sub Frame;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
;;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm
91;0;-346.540863;-2087.356445;61.029083;655.79248;-2118.133057;55.049156;155.771057;-2587.73584;60.587555;632.936096;-3061.122559;54.660313;-354.34787;-3033.680908;59.740761;;;;;;
92;0;-346.510406;-2087.390625;61.092518;655.755859;-2118.185059;55.101051;155.798279;-2587.717529;60.593044;632.958862;-3061.125488;54.67387;-354.354919;-3033.665283;59.777031;;;;;;
93;0;-346.529236;-2087.346436;61.002014;655.748291;-2118.140381;55.00901;155.800812;-2587.730469;60.581772;632.92334;-3061.124023;54.598705;-354.320038;-3033.675293;59.737072;;;;;;
94;0;-346.555786;-2087.409424;61.068455;655.760315;-2118.16626;55.017361;155.781418;-2587.768311;60.536289;632.960083;-3061.125;54.666306;-354.370087;-3033.680664;59.785835;;;;;;
95;0;-346.570801;-2087.38623;61.033302;655.745117;-2118.15625;55.093204;155.762482;-2587.773193;60.586941;632.908142;-3061.110107;54.66441;-354.399841;-3033.688721;59.782963;;;;;;
96;0;-346.569305;-2087.343506;61.028942;655.711792;-2118.185547;55.156109;155.749969;-2587.750977;60.594467;632.913696;-3061.13208;54.657372;-354.390717;-3033.697021;59.745216;;;;;;
97;0;-346.553314;-2087.366699;61.023037;655.772217;-2118.137451;55.018337;155.794647;-2587.743164;60.574551;632.920349;-3061.123291;54.628914;-354.351837;-3033.701904;59.735218;;;;;;
98;0;-346.519196;-2087.349365;60.955475;655.809631;-2118.138672;55.017208;155.824295;-2587.741699;60.582928;632.931335;-3061.115723;54.647865;-354.304413;-3033.670898;59.752117;;;;;;
99;0;-346.530457;-2087.378662;61.009827;655.755981;-2118.19043;55.236599;155.817184;-2587.733398;60.56464;632.943237;-3061.131104;54.60989;-354.335846;-3033.700928;59.730366;;;;;;
100;0;-346.563354;-2087.352051;60.993919;655.771057;-2118.158691;55.039902;155.809464;-2587.743896;60.588772;632.917175;-3061.132324;54.631828;-354.347015;-3033.666016;59.7579;;;;;;
